경도,위도,주소
127.4295547,36.32853944,대전광역시 중구 은행동 65-16 
127.4256779,36.31821474,대전광역시 중구 대흥동 109-12 
127.4245723,36.32008074,대전광역시 중구 대흥동 340-24 
127.4246745,36.3222077,대전광역시 중구 대흥동 320-2 
127.4264074,36.3267648,대전광역시 중구 대흥동 189 
127.4287151,36.32609133,대전광역시 중구 대흥동 134-1 
127.4241216,36.32764555,대전광역시 중구 대흥동 205-1 
127.4295431,36.32194791,대전광역시 중구 대흥동 40-10 
127.4276043,36.32607951,대전광역시 중구 대흥동 156-2 
127.4260408,36.32382365,대전광역시 중구 대흥동 423-4 
127.4250111,36.31701358,대전광역시 중구 대사동 118-14 
127.4250858,36.31745304,대전광역시 중구 대사동 117-11 
127.4232648,36.3237275,대전광역시 중구 대흥동 452-52
127.4224278,36.32363758,대전광역시 중구 대흥동 508-63 
127.4201584,36.32491113,대전광역시 중구 대흥동 500 
127.4213773,36.32547931,대전광역시 중구 대흥동 499-1 
127.4056197,36.33469635,대전광역시 중구 목동 24 
127.4120431,36.33377629,대전광역시 중구 목동 5-14 
127.409752,36.33128399,대전광역시 중구 목동 116-35 
127.4126921,36.33167759,대전광역시 중구 목동 111-12 
127.4101459,36.33599245,대전광역시 중구 목동 10-7 
127.4131378,36.33918062,대전광역시 중구 중촌동 105-11 
127.4129403,36.3386448,대전광역시 중구 중촌동 102-3 
127.4090094,36.34118701,대전광역시 중구 중촌동 10-3 
127.4246544,36.33002098,대전광역시 중구 은행동 126 
127.4278945,36.32965772,대전광역시 중구 은행동 9-12 
127.4270274,36.32927574,대전광역시 중구 은행동 136-11 
127.4264681,36.32913473,대전광역시 중구 은행동 141-16 
127.4276759,36.32947613,대전광역시 중구 은행동 9-39 
127.4250182,36.32862683,대전광역시 중구 선화동 3-3 
127.4246489,36.32841476,대전광역시 중구 선화동 62-5
127.4242721,36.32836466,대전광역시 중구 선화동 63 
127.4238494,36.32811754,대전광역시 중구 선화동 66-2 
127.4209455,36.33313976,대전광역시 중구 선화동 79-1 
127.4228319,36.3279795,대전광역시 중구 선화동 226 
127.4196897,36.33085106,대전광역시 중구 선화동 140-14 
127.4203412,36.32843687,대전광역시 중구 선화동 348-10 
127.4187554,36.32440277,대전광역시 중구 선화동 382-50
127.4167746,36.32385017,대전광역시 중구 선화동 877 
127.4360064,36.31334753,대전광역시 중구 문창동 373-10 
127.4366469,36.3125645,대전광역시 중구 문창동 379-3 
127.4349589,36.3134902,대전광역시 중구 부사동 150-8 
127.4348992,36.31284745,대전광역시 중구 부사동 153-8 
127.4355052,36.31249214,대전광역시 중구 부사동 153-1 
127.4306312,36.31633196,대전광역시 중구 부사동 209-1 
127.4308914,36.31370398,대전광역시 중구 부사동 140-4 
127.4420377,36.30928499,대전광역시 중구 석교동 60-5 
127.4490346,36.30472301,대전광역시 중구 호동 10-5 
127.4547424,36.29928039,대전광역시 중구 옥계동 45-3 
127.4506442,36.3039,대전광역시 중구 호동 26-22 
127.4005362,36.31885059,대전광역시 중구 유천동 186-5 
127.3978293,36.31657274,대전광역시 중구 유천동 215-45 
127.3986153,36.31282536,대전광역시 중구 유천동 271-16 
127.3926745,36.31691325,대전광역시 중구 유천동 306-34 
127.3965662,36.31789654,대전광역시 중구 유천동 210-3 
127.3933478,36.32327132,대전광역시 중구 태평동 395-1 
127.3939678,36.32246698,대전광역시 중구 태평동 386 
127.3906866,36.32059121,대전광역시 중구 태평동 551
127.3881939,36.3169989,대전광역시 중구 태평동 423-20 
127.3952574,36.32562165,대전광역시 중구 태평동 381-16 
127.3969705,36.32346611,대전광역시 중구 태평동 554 
127.397238,36.32668359,대전광역시 중구 태평동 335-14 
127.3988726,36.33181164,대전광역시 중구 태평동 253-1 
127.4146102,36.32299185,대전광역시 중구 용두동 13-4 
127.4109353,36.32422103,대전광역시 중구 용두동 23-6 
127.411168,36.32502531,대전광역시 중구 용두동 25-21 
127.4071147,36.32890167,대전광역시 중구 용두동 99-28 
127.4069911,36.32936116,대전광역시 중구 용두동 100-36 
127.4053026,36.32787598,대전광역시 중구 오류동 187-4 
127.4060973,36.32724935,대전광역시 중구 오류동 187-11 
127.4077718,36.32591348,대전광역시 중구 오류동 175-3 
127.4090697,36.3248806,대전광역시 중구 오류동 175-14 
127.4104259,36.32226093,대전광역시 중구 오류동154-4 
127.4068479,36.32104658,대전광역시 중구 오류동 165-13 
127.40573,36.32091979,대전광역시 중구 오류동 168-8 
127.4038621,36.32843918,대전광역시 중구 오류동 189-32 
127.4046984,36.3221204,대전광역시 중구 오류동 170-1 
127.4029875,36.32984164,대전광역시 중구 오류동 188-24 
127.4066575,36.31999762,대전광역시 중구 문화동 311-3 
127.4098078,36.32107555,대전광역시 중구 문화동 1-13 
127.4070649,36.31341069,대전광역시 중구 문화동 187-1 
127.4093196,36.31149187,대전광역시 중구 문화동 141 
127.4135316,36.32096294,대전광역시 중구 문화동 1-30 
127.4165159,36.31852939,대전광역시 중구 대사동 248-229
127.4049949,36.31432013,대전광역시 중구 문화동 284-3
127.4046123,36.31462831,대전광역시 중구 문화동 284-93
127.4144778,36.32117833,대전광역시 중구 문화동 1-143
127.4147159,36.32238968,대전광역시 중구 문화동 1-6
127.408881,36.31563785,대전광역시 중구 문화동 281-1
127.4094188,36.31719124,대전광역시 중구 문화동 1-253
127.4020262,36.27856725,대전광역시 중구 대사도 642
127.4141074,36.31816479,대전광역시 중구 문화동 1-33
127.3952712,36.30812837,대전광역시 중구 문화동 785
127.3871117,36.30610574,대전광역시 중구 산성동 284-1
127.3786466,36.28663454,대전광역시 중구 안영동 702-2
127.3802644,36.28837114,대전광역시 중구 안영동 683-3
127.3859185,36.3034473,대전광역시 중구 산성동 125-1
127.3864255,36.30328436,대전광역시 중구 산성동 277-20
127.3882418,36.3125584,대전광역시 중구 산성동 759-33
127.3874827,36.31498501,대전광역시 중구 유천동 339-64
127.3752291,36.28236496,대전광역시 중구 안영동 243-3
127.3979104,36.29277325,대전광역시 중구 사정동 138
127.3764507,36.28284045,대전광역시 중구 안영동 280 
126.2556731,33.2212969,제주특별자치도 서귀포시 하모리 814-2
126.2904011,33.20814732,제주특별자치도 서귀포시 상모리 132-1
126.2585936,33.21145736,제주특별자치도 서귀포시 하모리 634-11
126.5951612,33.33962791,제주특별자치도 서귀포시 하모3리 977-2
126.2690668,33.22653504,제주특별자치도 서귀포시 상모리 2650-3
126.2725262,33.2525913,제주특별자치도 서귀포시 보성리1577-1
126.2601578,33.26415525,제주특별자치도 서귀포시 신평리102
126.2461602,33.27834314,제주특별자치도 서귀포시 무릉리132-1
126.233774,33.27380693,제주특별자치도 서귀포시 무릉리568-7
126.2239285,33.28108369,제주특별자치도 서귀포시 무릉리973-1
126.2369724,33.25782027,제주특별자치도 서귀포시 동일리274
126.2251668,33.24671566,제주특별자치도 서귀포시 일과리1509-2
126.2239781,33.24767741,제주특별자치도 서귀포시 일과리1538-6
126.2108259,33.25867562,제주특별자치도 서귀포시 영락리1282-2
126.1918102,33.27814044,제주특별자치도 서귀포시 신도리1408-1
126.1845817,33.28431978,제주특별자치도 서귀포시 신도리2072-13
126.1847199,33.28672614,제주특별자치도 서귀포시 신도리2067-24
126.1864084,33.28751377,제주특별자치도 서귀포시 신도리1920-3
126.1711299,33.27630014,제주특별자치도 서귀포시 신도리3076-2
126.175101,33.28010219,제주특별자치도 서귀포시 신도리2633-4
126.1733076,33.27678756,제주특별자치도 서귀포시 신도리3094-1
126.2350815,33.27454752,제주특별자치도 서귀포시 무릉리630-2
126.2191471,33.26301199,제주특별자치도 서귀포시 영락리279
126.2035137,33.25306513,제주특별자치도 서귀포시 영락리1747-4
126.208683,33.26112334,제주특별자치도 서귀포시 영락리1242-2
126.2630243,33.26803711,제주특별자치도 서귀포시 신평리603-1
126.2596595,33.2657308,제주특별자치도 서귀포시 신평리370-4
126.2279087,33.24282555,제주특별자치도 서귀포시 일과리1467-1
126.2819513,33.24980937,제주특별자치도 서귀포시 안성리 1478-2
126.2253705,33.25599036,제주특별자치도 서귀포시 일과리 산1-8
126.2499859,33.22675832,제주특별자치도 서귀포시 하모리2121-28
126.2593546,33.22997962,제주특별자치도 서귀포시 상모리3675-6
126.2570857,33.21565414,제주특별자치도 서귀포시 하모리566-2
126.260419,33.22114897,제주특별자치도 서귀포시 상모리 4083-1
